createdat,createdby,modifiedat,modifiedby,codigo,areajerarquia,descripcion,responsablecebe,segmento,sociedadco_codigo,sociedadfi_codigo,historico
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,1000,10,Planta ABA,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,1001,10,Planta de Harina,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2020,200,Granja Desarrollo Ti,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2120,210,Granja Postura Tizat,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2300,230,Granja Engorde Tizat,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2301,230,Granja Engorde Tizat,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2302,230,Granja Engorde Nueva,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2303,230,Granja Engorde Peña,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2400,240,Granja Engorde Izagu,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2401,240,Granja Engorde Lardi,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2402,240,Granja Engorde Arias,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2403,240,Granja Engorde Villa,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2404,240,Granja Engorde Avend,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2405,240,Granja Engorde Carri,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2406,240,Granja Engorde Juliz,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2600,260,Granja Engorde Memo,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2601,260,Granja Engorde Lagos,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2602,260,Granja Engorde Santa,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2603,260,Granja Engorde Genes,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2604,260,Granja Engorde Menji,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2607,260,Granja Engorde Monte,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2608,260,Granja Engorde Durón,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2609,260,Granja Engor Duron 2,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2610,260,Granja Engorde Hadas,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2611,260,Granja Quebrada Hond,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2612,260,Granja La Ermita,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2613,260,Granja Trinidad,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,2614,260,Granja Avidesa,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,4000,40,Planta de Procesos,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,5000,50,Almacen y Despacho T,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,5001,50,Centro de Distribuci,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,5002,50,Sala de Ventas SPS,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,5003,50,Salas de Ventas TGU,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,5004,50,CD de Juticalpa,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,5005,50,Sala de Ventas,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,5006,50,Sala de Ventas CEIBA,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,6000,60,Departamento de Serv,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,6010,60,Centro de Almacenami,"","",1000,"",t
2025-08-27 22:33:08.97,DBULNES,2025-08-27 22:33:08.97,DBULNES,9999,0001,DUMMY (Generico),"","",1000,"",t
