createdat,createdby,modifiedat,modifiedby,codigo,descripcion,plancuenta_codigo,plancuentagasto_codigo,vidautil,vidautilmes,historico
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,1000,"Terrenos, derechos similares sobre terrenos",1210505001,"",0,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,1100,Edificios Productivos,1210505002,6234005001,25,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,1120,Edificios Operativos,1210505002,7115505001,25,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,1200,Instalaciones Productivos,1210505003,6234005002,25,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,1220,Instaciones Operativas,1210505003,7115505002,20,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,1300,Galeras Productivas,1210505004,6234005003,8,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,1400,Silos Productivos,1210505005,6234005004,15,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,1500,Tanques de Agua Productivos,1210505003,6234005002,10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,1520,Tanques de Agua Operativos,1210505003,7115505002,10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,1600,Pozos de Agua Productivos,1210505003,6234005002,10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,2000,Maquinaria Productiva,1210505006,6234005005,10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,2020,Maquinaria Operativa,1210505006,7115505003,10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,2100,Camaras Frias Productivas,1210505006,6234005005,10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,2200,Camaras Frias Operativas,1210505006,7115505003,10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3000,Mobiliario y equipos Productivos,1210505007,6234005006,10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3020,Mobiliario y equipos Operativos,1210505007,7115505004,10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3100,Flota de transporte Productivos,1210505009,6234005008,4,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3120,Flota de transporte Operativos,1210505009,7115505006,4,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3200,Equipo de Computacion Productivos,1210505008,6234005007,4,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3220,Equipo de Computación Operativos,1210505008,7115505005,4,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3300,Equipo de Telecomunicaciones Productivos,1210505007,6234005006,4,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3320,Equipo de Telecomunicaciones Operativos,1210505007,7115505004,4,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3400,Equipo de Monitoreo y Seguridad Productivos,1210505007,6234005006,4,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3420,Equipo de Monitoreo y Seguridad Operativos,1210505007,7115505004,5,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3500,Equipo Medico y de Laboratorio Productivo,1210505007,6234005006,5,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3520,Equipo Medico y de Laboratorio Operativo,1210505007,7115505004,5,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,3920,Equipos en Comodato Operativos,1210505010,7115505007,5,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,4001,IEC como medida de inversión,1211005001,"",0,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,5000,Bienes económicos de poco valor,"","",5,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,7000,Gastos de constitución,"","",10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,7010,Mejoras a la propiedad arrendada Operativas,1210505011,7115505008,10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,9000,Programas,1220505001,7115510001,10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,9100,Programas,1220505001,6234010001,10,0,t
2025-08-27 22:33:22.552,DBULNES,2025-08-27 22:33:22.552,DBULNES,X002,Ave Reproductora - Activo Biologico,1211505001,6234015001,0,6,t
